USER_ID,RECOMMENDED_ITEMS
m2rnr,xe7ro w2hfu uyyjy yw57v wpafi 0m78w fi4qn 08fo4 3l7ps vc5mh
inbz7,yw57v xe7ro w2hfu uyyjy 0m78w gglod wpafi qgz5o fi4qn jtc35
dzccb,vc5mh 08fo4 yq4mr ay1nk u3j2q b3ug3 z7vry 7i41a tyox0 rwsn0
owz53,pt66i 9wjhf vc5mh 08fo4 u3j2q yq4mr jzyqm ay1nk b3ug3 yl3ar
od8z6,w2hfu vc5mh yq4mr yw57v uyyjy xe7ro 3l7ps 08fo4 wpafi fi4qn
rwff1,xe7ro yw57v w2hfu vc5mh uyyjy 08fo4 ay1nk 0m78w gglod yq4mr
z89tj,hitrw 08fo4 vc5mh u3j2q iz1y0 ay1nk wk1pk yq4mr ex6ky urf8m
9duwc,w2hfu xe7ro uyyjy gglod 3l7ps yw57v 0m78w pt66i wpafi fi4qn
ukxj6,hitrw iz1y0 wk1pk 1vg8a s9bbf aisck ex6ky r4wld 9dyfi xe3gm
66a3e,731q8 gg4tp pt66i 9wjhf xzkci jzyqm ca9s8 rylwr hqcoi yl3ar
dyx58,w2hfu yw57v xe7ro uyyjy wpafi 3l7ps 0m78w jtc35 fi4qn qgz5o
u9w34,uyyjy xe7ro yw57v w2hfu 0m78w wpafi vc5mh 3l7ps fi4qn gglod
91l8r,9wjhf pt66i jzyqm rylwr gg4tp jexjm ca9s8 hqcoi g6yy7 kbr12
jhl0p,731q8 gg4tp ca9s8 f9ok6 hqcoi xzkci g6yy7 5hiw8 rroen jt2q9
fezcp,9wjhf pt66i rylwr yl3ar psq56 jexjm 558yh vx062 hix96 kbr12
u8i9q,yw57v uyyjy w2hfu xe7ro wpafi fi4qn 0m78w gglod 3l7ps qgz5o
aiqfd,hitrw ex6ky wk1pk iz1y0 aisck s9bbf 1vg8a naai8 xe3gm 69z5r
l1k51,iz1y0 wk1pk aisck ex6ky 1vg8a s9bbf 69z5r xe3gm naai8 zk0g8
uk5jk,731q8 ca9s8 gg4tp xzkci jt2q9 f9ok6 9wjhf omw53 g6yy7 hqcoi
zqjo6,hitrw iz1y0 aisck ex6ky wk1pk s9bbf 1vg8a naai8 xe3gm 69z5r
whfdd,pt66i jzyqm yl3ar jexjm rylwr iv74n psq56 hix96 4byrw vx062
htto2,731q8 ca9s8 xzkci jt2q9 g6yy7 gg4tp hqcoi omw53 2faww rroen
qaphi,yw57v xe7ro w2hfu uyyjy 08fo4 0m78w vc5mh wpafi fi4qn yq4mr
7wrpw,yw57v uyyjy w2hfu xe7ro fi4qn gglod 0m78w 3l7ps b3ug3 wpafi
at344,9wjhf pt66i jzyqm yl3ar rylwr psq56 jexjm hix96 iv74n vx062
eg39v,731q8 xzkci gg4tp g6yy7 hqcoi f9ok6 jt2q9 ytry5 99p1q 5hiw8
f62ot,yw57v xe7ro uyyjy w2hfu yq4mr 08fo4 vc5mh fi4qn 0m78w b3ug3
fjx2w,yw57v xe7ro uyyjy vc5mh b3ug3 w2hfu yq4mr gglod 08fo4 u3j2q
n4opv,yq4mr vc5mh 08fo4 731q8 u3j2q 7i41a rwsn0 z7vry b3ug3 vc9bo
0xefl,hitrw iz1y0 aisck s9bbf ex6ky naai8 1vg8a wk1pk 69z5r urf8m
eszjr,pt66i 9wjhf jzyqm yq4mr vc5mh rylwr yl3ar jexjm 08fo4 ay1nk
anti0,731q8 pt66i 9wjhf rylwr jzyqm yl3ar jexjm kbr12 xzkci vx062
9gn8h,jzyqm 08fo4 pt66i 9wjhf vc5mh ay1nk yl3ar u3j2q xnp1f rylwr
dg1h9,08fo4 vc5mh rwsn0 b3ug3 u3j2q yq4mr ay1nk 7i41a tyox0 vc9bo
z5rxv,hitrw iz1y0 731q8 aisck wk1pk ex6ky s9bbf urf8m 69z5r 1vg8a
qwg41,731q8 hqcoi ca9s8 gg4tp xzkci g6yy7 ytry5 qirhx 99p1q jt2q9
osub5,08fo4 vc5mh yq4mr ay1nk u3j2q b3ug3 7i41a rwsn0 z7vry xnp1f
fz7ia,731q8 ca9s8 g6yy7 xzkci hqcoi f9ok6 gg4tp qirhx 99p1q ytry5
3v42b,731q8 hitrw ca9s8 xzkci pt66i aisck iz1y0 hqcoi gg4tp jt2q9
s5z0c,pt66i 9wjhf jzyqm rylwr jexjm iv74n psq56 4byrw kbr12 hix96
1pjyz,hitrw iz1y0 yw57v 08fo4 aisck ex6ky yq4mr xe7ro uyyjy vc5mh
k8ebm,9wjhf pt66i rylwr jzyqm jexjm yl3ar iv74n psq56 kbr12 vx062
cdv5d,08fo4 yq4mr ay1nk b3ug3 vc5mh u3j2q z7vry 7i41a 1gbak vc9bo
b3coz,9wjhf pt66i jzyqm iv74n rylwr jexjm yl3ar psq56 hix96 kbr12
o1z2u,w2hfu uyyjy xe7ro 9wjhf pt66i yw57v wpafi 0m78w fi4qn gglod
i7d1d,hitrw iz1y0 aisck ex6ky s9bbf 1vg8a wk1pk 3u9xb 69z5r xe3gm
l5n33,731q8 pt66i gg4tp ca9s8 rylwr 9wjhf jzyqm xzkci hqcoi 2faww
7o1wx,731q8 gg4tp ca9s8 g6yy7 xzkci hqcoi jt2q9 g3joe f9ok6 ytry5
mjr64,731q8 gg4tp g6yy7 xzkci jt2q9 5hiw8 omw53 f9ok6 99p1q rroen
bhn0c,9wjhf yl3ar jexjm iv74n rylwr 4byrw 79zdr psq56 vx062 a1w1s
sibto,xe7ro w2hfu yw57v uyyjy 0m78w wpafi fi4qn gglod 3l7ps 731q8
h52az,yq4mr vc5mh ay1nk 08fo4 uyyjy u3j2q b3ug3 rwsn0 7i41a tyox0
vilpb,hitrw wk1pk iz1y0 1vg8a aisck ex6ky s9bbf naai8 69z5r xe3gm
m38vv,u3j2q ay1nk rwsn0 08fo4 yq4mr vc5mh b3ug3 tyox0 06dg7 vc9bo
24x3j,vc5mh 08fo4 b3ug3 ay1nk uyyjy yw57v w2hfu u3j2q xe7ro yq4mr
eysll,yw57v w2hfu gglod wpafi xe7ro 3l7ps 0m78w uyyjy fi4qn vc5mh
w2meb,pt66i 9wjhf rylwr jzyqm yl3ar iv74n kbr12 psq56 jexjm 4byrw
2pt90,w2hfu xe7ro uyyjy yw57v fi4qn 3l7ps 0m78w gglod qgz5o kthr4
b5j5h,u3j2q 08fo4 ay1nk b3ug3 yq4mr vc5mh xnp1f 06dg7 yw57v vc9bo
s0w2m,w2hfu uyyjy yw57v wpafi xe7ro fi4qn 0m78w gglod qgz5o jtc35
jaehw,08fo4 vc5mh u3j2q b3ug3 tyox0 ay1nk w2hfu rwsn0 yw57v 7i41a
y1ad6,xe7ro w2hfu yw57v uyyjy fi4qn 0m78w wpafi 3l7ps gglod qgz5o
30u5e,08fo4 yq4mr vc5mh b3ug3 u3j2q ay1nk z7vry rwsn0 vlo5d 7i41a
sycz5,pt66i 9wjhf yl3ar rylwr iv74n jexjm kbr12 vx062 a1w1s hix96
dhp77,731q8 w2hfu xe7ro yw57v xzkci g6yy7 f9ok6 5hiw8 jt2q9 uyyjy
2fe20,yq4mr 08fo4 u3j2q 7i41a vc5mh b3ug3 z7vry ay1nk tyox0 06dg7
nz0ci,pt66i 9wjhf rylwr jzyqm 731q8 yl3ar iv74n jexjm psq56 kbr12
n959g,xe7ro uyyjy yw57v w2hfu gglod fi4qn wpafi 0m78w 3l7ps qgz5o
vz5fc,08fo4 yq4mr vc5mh ay1nk u3j2q b3ug3 rwsn0 7i41a z7vry tyox0
75n4i,hitrw wk1pk yw57v iz1y0 uyyjy w2hfu wpafi xe7ro 1vg8a aisck
eauyv,vc5mh b3ug3 u3j2q 08fo4 ay1nk 7i41a yq4mr z7vry hitrw w2hfu
45ja3,yw57v w2hfu uyyjy xe7ro wpafi 3l7ps fi4qn gglod 0m78w qgz5o
qwnoh,731q8 gg4tp ca9s8 xzkci g6yy7 jt2q9 hqcoi rroen 5hiw8 omw53
b60qf,731q8 gg4tp ca9s8 jt2q9 xzkci ytry5 g3joe hqcoi g6yy7 2faww
2inua,xe7ro w2hfu uyyjy yw57v 08fo4 gglod 0m78w wpafi fi4qn 3l7ps
y75or,731q8 gg4tp xzkci jt2q9 qirhx ca9s8 hqcoi g3joe g6yy7 f9ok6
mapls,hitrw yw57v xe7ro uyyjy pt66i w2hfu vc5mh 08fo4 iz1y0 9wjhf
fecwl,pt66i hitrw yw57v xe7ro 9wjhf uyyjy iz1y0 w2hfu aisck jzyqm
ah6b1,xzkci gg4tp g6yy7 qirhx hqcoi ytry5 rroen omw53 f9ok6 jt2q9
raehb,731q8 yw57v w2hfu xe7ro uyyjy fi4qn ca9s8 gg4tp wpafi 3l7ps
3as0p,uyyjy yw57v xe7ro w2hfu 0m78w wpafi 3l7ps fi4qn hitrw wk1pk
ddack,vc5mh 08fo4 ay1nk yq4mr u3j2q rwsn0 b3ug3 7i41a vlo5d z7vry
m8vco,731q8 xzkci gg4tp ca9s8 jt2q9 g6yy7 qirhx 5hiw8 f9ok6 hqcoi
z5e80,uyyjy yw57v 0m78w xe7ro w2hfu 3l7ps wpafi qgz5o fi4qn 9badk
jf1cu,uyyjy yw57v xe7ro w2hfu vc5mh wpafi 0m78w gglod fi4qn yq4mr
mls87,731q8 g6yy7 ytry5 xzkci ca9s8 gg4tp jt2q9 hqcoi f9ok6 qirhx
xp8ib,731q8 gg4tp g6yy7 2faww g5nwn xzkci ytry5 5hiw8 ca9s8 hqcoi
np9j9,uyyjy yw57v w2hfu xe7ro pt66i qgz5o 0m78w 3l7ps wpafi 9wjhf
kusy4,731q8 gg4tp xzkci hqcoi g6yy7 ca9s8 g3joe 2faww 5hiw8 f9ok6
ltqbi,vc5mh yq4mr 08fo4 7i41a b3ug3 rwsn0 ay1nk u3j2q tyox0 z7vry
g3ghq,731q8 ca9s8 hqcoi xzkci 08fo4 omw53 g6yy7 5hiw8 2faww ytry5
xopy1,9wjhf pt66i jzyqm rylwr yl3ar jexjm psq56 iv74n kbr12 4byrw
zl2bn,731q8 xzkci ca9s8 g6yy7 ytry5 f9ok6 hqcoi qirhx jt2q9 5hiw8
5mxzv,xe7ro w2hfu yw57v gglod uyyjy wpafi 3l7ps fi4qn qgz5o bfybm
88y9o,hitrw iz1y0 ex6ky s9bbf wk1pk aisck 1vg8a 69z5r xe3gm 9dyfi
fjn95,9wjhf pt66i rylwr iv74n psq56 vx062 7f2g0 olkmt hix96 ebtgq
k8g8k,731q8 vc5mh hqcoi xzkci 9wjhf pt66i ca9s8 jzyqm gg4tp omw53
ky0vb,hitrw 08fo4 vc5mh aisck z7vry ay1nk ex6ky iz1y0 7i41a 1vg8a
ej77s,731q8 xzkci gg4tp g6yy7 hqcoi jt2q9 qirhx ytry5 omw53 pt66i
y8iib,9wjhf pt66i jzyqm yl3ar rylwr iv74n psq56 jexjm hix96 kbr12
13ha6,pt66i 9wjhf jzyqm yl3ar rylwr jexjm psq56 iv74n kbr12 a1w1s
19llu,08fo4 u3j2q hitrw b3ug3 ay1nk vc5mh tyox0 iz1y0 ex6ky yq4mr
9dj1n,xe7ro w2hfu yw57v uyyjy 08fo4 0m78w gglod pt66i 3l7ps vc5mh
gy14o,vc5mh 08fo4 7i41a u3j2q yq4mr rwsn0 ay1nk b3ug3 tyox0 xnp1f
tuv54,hitrw iz1y0 wk1pk aisck ex6ky 08fo4 s9bbf pt66i vc5mh 9wjhf
qbhpg,9wjhf jzyqm pt66i rylwr iv74n jexjm 731q8 psq56 4byrw a1w1s
38ojw,731q8 hitrw iz1y0 hqcoi aisck s9bbf xzkci rroen ex6ky omw53
ubout,9wjhf jzyqm 731q8 pt66i rylwr yl3ar jexjm psq56 ca9s8 iv74n
pfp92,731q8 gg4tp ca9s8 g6yy7 xzkci hqcoi 5hiw8 omw53 rroen 99p1q
zuz5q,iz1y0 wk1pk ex6ky aisck s9bbf urf8m 69z5r xe3gm 1vg8a zk0g8
ezhti,731q8 jt2q9 xzkci ca9s8 gg4tp g6yy7 rroen qirhx 2faww hqcoi
u9x02,hitrw 731q8 08fo4 iz1y0 aisck vc5mh naai8 pt66i ex6ky 7i41a
n3a6t,731q8 xzkci ca9s8 hqcoi 5hiw8 g6yy7 omw53 jt2q9 g5nwn 2faww
28eer,731q8 ca9s8 g6yy7 gg4tp xzkci hqcoi qirhx hhcmt jt2q9 5hiw8
gdn2m,731q8 gg4tp ca9s8 hqcoi jt2q9 omw53 5hiw8 ytry5 99p1q 2faww
4jv95,08fo4 vc5mh rwsn0 yq4mr ay1nk u3j2q b3ug3 7i41a vlo5d 0p2c0
2xvay,731q8 ca9s8 gg4tp hqcoi f9ok6 qirhx g6yy7 ytry5 xzkci 5hiw8
4g1m2,hitrw pt66i iz1y0 wk1pk aisck s9bbf ex6ky 9wjhf xe3gm 69z5r
coxl3,hitrw iz1y0 s9bbf ex6ky aisck 69z5r wk1pk urf8m xe3gm zk0g8
lpju9,xe7ro yw57v w2hfu uyyjy wpafi fi4qn 0m78w gglod 3l7ps jtc35
myk47,hitrw wk1pk iz1y0 aisck ex6ky naai8 s9bbf urf8m 1vg8a zk0g8
c2gjw,731q8 ca9s8 gg4tp xzkci hqcoi ytry5 g6yy7 qirhx omw53 5hiw8
mwgix,pt66i 9wjhf yl3ar rylwr jexjm psq56 iv74n vx062 olkmt 558yh
fqaxg,uyyjy xe7ro yw57v w2hfu 0m78w gglod wpafi fi4qn 3l7ps jtc35
mrf3h,hitrw iz1y0 aisck wk1pk 1vg8a urf8m 69z5r ex6ky s9bbf naai8
lvy66,hitrw iz1y0 aisck wk1pk ex6ky s9bbf 1vg8a 69z5r urf8m xe3gm
gnp9t,pt66i 9wjhf jzyqm rylwr yl3ar iv74n jexjm psq56 kbr12 a1w1s
wlnim,yw57v uyyjy w2hfu xe7ro 0m78w wpafi fi4qn gglod 3l7ps qgz5o
rymss,w2hfu yw57v uyyjy xe7ro 3l7ps wpafi gglod 0m78w fi4qn jtc35
ot3pn,731q8 ca9s8 gg4tp pt66i hqcoi xzkci ytry5 jt2q9 g3joe g6yy7
pwfs4,08fo4 u3j2q vc5mh b3ug3 ay1nk yq4mr tyox0 7i41a xnp1f z7vry
j042l,731q8 gg4tp ca9s8 xzkci hqcoi g6yy7 rroen f9ok6 jt2q9 ytry5
g8uoj,yw57v w2hfu xe7ro uyyjy 731q8 0m78w gglod 3l7ps fi4qn qgz5o
w1psq,hitrw iz1y0 xe7ro yw57v uyyjy w2hfu wk1pk aisck ex6ky s9bbf
0npcb,pt66i 731q8 9wjhf ca9s8 jzyqm hqcoi gg4tp ytry5 yl3ar rylwr
