USER_ID,AGE_BUCKET
d1xpp,30-39
4dzhd,30-39
s901z,40-49
2se4q,10-19
sng72,40-49
xo3tp,30-39
qidt5,10-19
c43jw,50-59
f1zmc,10-19
8q6y2,30-39
1hnqr,50-59
btf0y,50-59
70n8o,40-49
l6ncq,40-49
2gqey,30-39
rliuy,40-49
7pf3w,50-59
zdl13,30-39
p24n6,30-39
kiywf,10-19
3h2a2,50-59
22xqz,50-59
j2uqs,40-49
ubfie,40-49
pyxq4,20-29
uc1uw,50-59
utdu2,10-19
kvbmp,40-49
9hjo9,20-29
4bi3c,30-39
4k7kp,10-19
xeus2,10-19
9xoop,20-29
3lgma,20-29
dd10z,50-59
qzf6s,30-39
7frzr,10-19
qfnik,50-59
ywvn8,40-49
dmem8,50-59
n6rzq,50-59
j18j2,30-39
jz2q0,10-19
jcdq6,30-39
eqzhz,40-49
l3utg,10-19
q4a1r,50-59
zxplw,20-29
fvdxw,40-49
d1o2b,50-59
grglx,50-59
fydgv,40-49
2gk79,20-29
uqmwv,30-39
kaf8p,30-39
rq2cc,50-59
jryrp,10-19
7futr,10-19
3j8lt,10-19
s4pka,50-59
n3a6t,30-39
fktld,40-49
xyeki,10-19
x0071,10-19
ldw69,40-49
iibft,40-49
tnl3q,30-39
38lh8,10-19
wkws6,30-39
j97gf,40-49
tbkp8,20-29
9f6d0,20-29
46i6e,40-49
sqla1,20-29
mxon5,10-19
d00nj,40-49
a78ib,10-19
ec36f,30-39
0gnvz,30-39
5bhkl,10-19
91l8r,40-49
spf7a,50-59
gikea,50-59
y8eks,20-29
7y1up,20-29
h52az,40-49
d03ep,30-39
eu7co,40-49
9kers,20-29
xl8sk,10-19
87rav,10-19
tfw4d,50-59
0f0pa,30-39
8fvg7,30-39
02pqw,40-49
24axd,20-29
k3j2q,20-29
imt1v,30-39
751vk,10-19
oen7p,40-49
ex85j,10-19
qtiji,10-19
90438,40-49
d5crv,20-29
mfg3l,40-49
l7f67,30-39
vffku,10-19
fqeta,40-49
zbhg3,10-19
bpvsy,20-29
2o3l9,40-49
s0524,30-39
tbrg6,20-29
iiixu,20-29
8okba,30-39
n7s6d,20-29
d4dbo,50-59
7yd44,40-49
26i9l,50-59
2u2wx,20-29
w20e3,50-59
tls84,20-29
4q2ny,20-29
xijcf,20-29
prfpv,30-39
imnsn,40-49
0lpng,10-19
yik28,30-39
y64r1,50-59
lqt84,30-39
rxh2t,40-49
t1wck,40-49
g0bhv,50-59
zs47e,40-49
8wwdw,30-39
0uds7,10-19
0e88g,50-59
2ovq2,20-29
9278d,50-59
jzvbd,20-29
swgge,30-39
uaurq,50-59
ys017,10-19
2sriv,20-29
f74e2,40-49
ezdrx,20-29
0p71h,50-59
y0m06,30-39
31wj2,50-59
ntllf,30-39
8fd7t,10-19
p0ne0,50-59
gt87m,30-39
2wrfn,20-29
x9az4,40-49
8pej4,20-29
5weer,30-39
vbyta,40-49
dq03p,30-39
k8qlp,40-49
aks70,10-19
2tdo9,50-59
b5yk2,40-49
4bdx9,40-49
axexw,50-59
dy65b,30-39
iiqf4,10-19
13ha6,10-19
kx6ba,50-59
afb3v,50-59
928ik,10-19
4icy2,40-49
87e14,40-49
z34qb,10-19
qheez,40-49
st0tw,30-39
d4qf3,20-29
0bgaj,30-39
dzs90,50-59
wsbcw,20-29
abh5q,40-49
zognd,40-49
1gn9v,40-49
qt2jw,40-49
5uqfi,40-49
8tkpu,20-29
tzjxp,10-19
7ffqs,50-59
yo6re,20-29
e9e8k,50-59
dkwp2,20-29
vow8o,20-29
fo4h8,10-19
vvl7b,30-39
kprrf,50-59
idumu,50-59
vztxv,20-29
xwli2,30-39
mthpt,40-49
wsm8s,50-59
30u5e,40-49
74s0s,20-29
j2ils,20-29
4nrbe,40-49
cc543,10-19
cckum,30-39
rg0lc,40-49
06ap3,20-29
z4onz,30-39
fivye,40-49
sns8c,30-39
9q1pl,10-19
1yfz1,30-39
n7xma,20-29
yh1sq,40-49
fzfp4,20-29
798uh,50-59
429xf,10-19
sq4ol,50-59
c41bp,10-19
rq7fl,40-49
gi67b,20-29
wigkg,10-19
r9v0r,20-29
adji4,10-19
44wux,10-19
oy21w,20-29
c0n0t,10-19
5m74l,50-59
rt1y4,50-59
nsp6k,30-39
ve4nm,10-19
ur4ts,50-59
dao97,40-49
wwoga,10-19
mlgja,10-19
v7yqp,40-49
